rank CASE,rank GDP,country, Confirmed, imfGDP , unGDP , gdpPerCapita , pop 
157,157,Suriname, -   ,"3,919,000,000.00","3,278,445,033.00","6,680.51",586.63
158,158,Burundi, -   ,"3,714,000,000.00","2,873,699,606.00",312.34,"11,890.78"
159,159,Timor-Leste, -   ,"3,413,000,000.00","2,703,285,752.00","2,588.66","1,318.45"
160,160,Liberia, -   ,"3,217,000,000.00","2,756,817,825.00",636.06,"5,057.68"
161,161,Aruba, -   ,"2,952,000,000.00","2,667,039,106.00","27,649.25",106.77
162,162,Bhutan, -   ,"2,939,000,000.00","2,212,642,587.00","3,808.93",771.61
163,163,Lesotho, -   ,"2,892,000,000.00","2,241,017,076.00","1,349.98","2,142.25"
164,164,South Sudan, -   ,"2,796,000,000.00","6,534,451,826.00",249.78,"11,193.73"
165,165,Djibouti, -   ,"2,599,000,000.00","1,891,520,369.00","2,630.57",988
166,166,Central African Republic, -   ,"2,485,000,000.00","1,810,388,740.00",514.52,"4,829.77"
167,167,Cape Verde, -   ,"2,208,000,000.00","1,638,928,099.00","3,971.32",555.99
168,168,Belize, -   ,"2,071,000,000.00","1,741,100,000.00","5,208.39",397.63
169,169,Saint Lucia, -   ,"2,069,000,000.00","1,397,066,906.00","11,267.41",183.63
170,170,Gambia, -   ,"1,870,000,000.00","985,831,536.00",773.79,"2,416.67"
171,171,Antigua and Barbuda, -   ,"1,809,000,000.00","1,460,157,909.00","18,472.57",97.93
172,172,Seychelles, -   ,"1,739,000,000.00","1,433,826,317.00","17,682.29",98.35
173,173,San Marino, -   ,"1,672,000,000.00","1,590,761,265.00","49,276.47",33.93
174,174,Guinea-Bissau, -   ,"1,669,000,000.00","1,122,643,236.00",848.07,"1,968.00"
175,175,Solomon Islands, -   ,"1,607,000,000.00","1,133,967,215.00","2,339.55",686.88
176,176,Grenada, -   ,"1,330,000,000.00","1,016,208,148.00","11,819.81",112.52
177,177,Saint Kitts and Nevis, -   ,"1,118,000,000.00","909,854,620.00","21,015.43",53.2
178,178,Vanuatu, -   ,"994,000,000.00","837,519,790.00","3,236.26",307.15
179,179,Samoa, -   ,"960,000,000.00","822,233,281.00","4,838.37",198.41
180,180,Saint Vincent and the Grenadines, -   ,"903,000,000.00","765,318,745.00","8,139.53",110.94
181,181,Comoros, -   ,"773,000,000.00","1,149,802,573.00",888.91,869.6
182,182,Dominica, -   ,"590,000,000.00","581,484,032.00","8,196.04",71.99
